﻿Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,205.0904,NA,35.97350000000000,20.83110000000000,0.35510000000000,1.28270000000000,2.9643,169.4519,35.9936,35.6385,0.3551,35.7524,1.1688,1.1688,0.0000,-20.4286,169.4519,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,210.3303,NA,6.76210000000000,6.95650000000000,0.00000000000000,1.00890000000000,4.6794,203.5682,6.7621,6.7621,0.0000,1.3196,6.4514,1.6250,4.8264,0.1276,203.5682,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,217.3982,NA,7.06790000000000,6.91330000000000,0.00000000000000,0.94630000000000,4.5248,210.3303,7.0679,7.0679,0.0000,1.0089,7.0053,1.6342,5.3711,-0.1512,210.3303,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,224.0453,NA,6.64710000000000,6.96890000000000,0.00000000000000,0.85900000000000,4.8466,217.3982,6.6471,6.6471,0.0000,0.9463,6.5598,1.4786,5.0812,0.0990,217.3982,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,230.8693,NA,6.82400000000000,6.96180000000000,0.00000000000000,0.87310000000000,4.9844,224.0453,6.8240,6.8240,0.0000,0.8590,6.8381,1.4919,5.3462,-0.3147,224.0453,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,237.8967,NA,7.02740000000000,6.94100000000000,0.00000000000000,0.92510000000000,4.8980,230.8693,7.0274,7.0274,0.0000,0.8731,7.0794,1.4886,5.5908,-0.1170,230.8693,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,205.4883,NA,0.39790000000000,6.95650000000000,0.18410000000000,1.44810000000000,9.5229,205.4455,0.2269,0.0428,0.1841,0.9276,0.5633,0.5498,0.0135,29.0371,205.4455,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,244.9889,NA,7.09220000000000,6.94960000000000,0.00000000000000,0.90100000000000,4.7554,237.8967,7.0922,7.0922,0.0000,0.9251,7.0681,1.5413,5.5268,0.0778,237.8967,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,245.5565,NA,40.06820000000000,34.73490000000000,0.31510000000000,1.77790000000000,4.1896,205.6724,40.1992,39.8841,0.3151,40.0577,1.6043,1.6043,0.0000,-34.5080,205.6724,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,252.0738,NA,7.08490000000000,6.94300000000000,0.00000000000000,0.84600000000000,4.6135,244.9889,7.0849,7.0849,0.0000,0.9010,7.0299,1.4455,5.5844,0.1492,244.9889,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,258.8618,NA,6.78800000000000,6.94050000000000,0.00000000000000,0.82520000000000,4.7660,252.0738,6.7880,6.7880,0.0000,0.8460,6.7672,1.4347,5.3325,0.1444,252.0738,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,265.9803,NA,7.11850000000000,6.95400000000000,0.00000000000000,0.71380000000000,4.6015,258.8618,7.1185,7.1185,0.0000,0.8252,7.0071,1.3618,5.6453,-0.1660,258.8618,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,272.8019,NA,6.82160000000000,6.93450000000000,0.00000000000000,0.48200000000000,4.7144,265.9803,6.8216,6.8216,0.0000,0.7138,6.5898,1.0889,5.5009,0.1840,265.9803,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,279.5072,NA,6.70530000000000,6.93320000000000,0.00000000000000,0.58720000000000,4.9423,272.8019,6.7053,6.7053,0.0000,0.4820,6.8105,1.2112,5.5993,-0.1116,272.8019,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,286.3805,NA,6.87330000000000,6.98040000000000,0.00000000000000,0.47440000000000,5.0494,279.5072,6.8733,6.8733,0.0000,0.5872,6.7605,1.1410,5.6195,-0.2751,279.5072,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,245.9151,NA,0.35860000000000,6.94280000000000,0.19890000000000,1.98450000000000,10.7738,245.8716,0.2424,0.0435,0.1989,1.4628,0.5652,0.5503,0.0149,33.2564,245.8716,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,293.4702,NA,7.08970000000000,6.94730000000000,0.00000000000000,0.70700000000000,4.9070,286.3805,7.0897,7.0897,0.0000,0.4744,7.3223,1.3554,5.9669,-0.0740,286.3805,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,289.7892,NA,43.87410000000000,41.68990000000000,0.42120000000000,1.78340000000000,8.5896,246.1140,44.0964,43.6752,0.4212,43.7805,1.6781,1.6781,0.0000,-41.4475,246.1140,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,300.5382,NA,7.06800000000000,6.90790000000000,0.00000000000000,0.51040000000000,4.7469,293.4702,7.0680,7.0680,0.0000,0.7070,6.8714,1.2845,5.5869,0.1818,293.4702,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,307.1878,NA,6.64960000000000,6.92330000000000,0.00000000000000,0.27660000000000,5.0206,300.5382,6.6496,6.6496,0.0000,0.5104,6.4158,0.8776,5.5382,0.1447,300.5382,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,314.1753,NA,6.98750000000000,6.95250000000000,0.00000000000000,0.43660000000000,4.9856,307.1878,6.9875,6.9875,0.0000,0.2766,7.1475,1.3393,5.8082,-0.3029,307.1878,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,321.0665,NA,6.89120000000000,6.94570000000000,0.00000000000000,0.50920000000000,5.0401,314.1753,6.8912,6.8912,0.0000,0.4366,6.9638,1.1196,5.8442,0.0418,314.1753,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,290.2514,NA,0.46220000000000,6.90800000000000,0.19970000000000,2.01880000000000,15.0354,290.2104,0.2407,0.0410,0.1997,1.3622,0.6976,0.6828,0.0148,37.1884,290.2104,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,327.9402,NA,6.87370000000000,6.94820000000000,0.00000000000000,0.51850000000000,5.1146,321.0665,6.8737,6.8737,0.0000,0.5092,6.8830,1.1507,5.7323,-0.0570,321.0665,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,330.0345,NA,39.78310000000000,27.76930000000000,0.31140000000000,1.33870000000000,3.0216,290.4511,39.8948,39.5834,0.3114,39.7145,1.2076,1.2076,0.0000,-27.5286,290.4511,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,335.0147,NA,7.07450000000000,6.92610000000000,0.00000000000000,2.72630000000000,4.9662,327.9402,7.0745,7.0745,0.0000,0.5185,9.2823,3.3085,5.9738,-0.0524,327.9402,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,341.9752,NA,6.96050000000000,6.93900000000000,0.00000000000000,0.44180000000000,4.9447,335.0147,6.9605,6.9605,0.0000,2.7263,4.6760,1.1611,3.5149,0.1355,335.0147,NA,NA,NA
