Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,566.1820,NA,0.47170000000000,6.87320000000000,0.16690000000000,2.64130000000000,8.1526,566.1358,0.2131,0.0462,0.1669,1.2940,1.3935,1.3795,0.0140,35.5868,566.1358,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,604.2304,NA,38.04840000000000,34.70640000000000,0.41240000000000,1.64780000000000,4.8106,566.3489,38.2939,37.8815,0.4124,2.4744,37.0549,1.5520,35.5029,-34.4933,566.3489,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,527.3162,NA,96.71350000000000,97.28030000000000,0.00000000000000,0.45060000000000,5.4288,430.6027,96.7135,96.7135,0.0000,1.8689,95.2952,1.1447,94.1505,14.8187,430.6027,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,604.6816,NA,0.45120000000000,6.98310000000000,0.16200000000000,1.76340000000000,11.3425,604.6428,0.2008,0.0388,0.1620,1.2354,0.5668,0.5583,0.0085,31.3108,604.6428,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,645.7500,NA,41.06840000000000,34.68490000000000,0.42190000000000,1.65450000000000,4.9590,604.8436,41.3283,40.9064,0.4219,41.0151,1.5458,1.5458,0.0000,-34.4841,604.8436,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,646.2097,NA,0.45970000000000,6.96500000000000,0.19850000000000,1.76090000000000,11.4643,646.1719,0.2363,0.0378,0.1985,1.2326,0.5661,0.5545,0.0116,34.3633,646.1719,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,688.5342,NA,42.32450000000000,34.71950000000000,0.44830000000000,1.74430000000000,3.8593,646.4082,42.5743,42.1260,0.4483,42.2612,1.6091,1.6091,0.0000,-34.4832,646.4082,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,638.1685,NA,110.85230000000000,111.02930000000001,0.00000000000000,0.44000000000000,5.6058,527.3162,110.8523,110.8523,0.0000,0.4506,110.8417,1.1551,109.6866,-14.3158,527.3162,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,689.0218,NA,0.48760000000000,7.10690000000000,0.16480000000000,1.83090000000000,10.4786,688.9825,0.2041,0.0393,0.1648,1.2960,0.5742,0.5575,0.0167,35.4674,688.9825,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,733.4660,NA,44.44420000000000,41.58180000000000,0.21000000000000,2.30360000000000,7.6162,689.1866,44.4894,44.2794,0.2100,41.8821,4.7009,2.9877,1.7132,-41.3777,689.1866,NA,NA,NA
